family_uid,cloud,tree,sun,windshield,domains_present
family_s07_e41,True,True,True,True,4
family_s07_e42,True,True,True,True,4
family_s08_e42,True,True,True,True,4
family_s08_e43,True,True,True,True,4
family_s09_e43,True,True,True,True,4
family_s09_e44,True,True,True,True,4
family_s10_e44,True,True,True,True,4
family_s10_e45,True,True,True,True,4
family_s11_e46,True,True,True,True,4
family_s12_e46,True,True,True,True,4
family_s13_e46,True,True,True,True,4
family_s13_e47,True,True,True,True,4
family_s14_e47,True,True,True,True,4
family_s15_e48,True,True,True,True,4
family_s16_e47,True,True,True,True,4
family_s16_e48,True,True,True,True,4
family_s16_e49,True,True,True,True,4
family_s17_e48,True,True,True,True,4
family_s17_e49,True,True,True,True,4
family_s18_e49,True,True,True,True,4
family_s20_e49,True,True,True,True,4
family_s11_e44,True,False,True,True,3
family_s11_e45,True,False,True,True,3
family_s12_e44,True,False,True,True,3
family_s13_e45,True,False,True,True,3
family_s14_e46,False,True,True,True,3
family_s14_e48,True,False,True,True,3
family_s15_e46,False,True,True,True,3
family_s15_e47,False,True,True,True,3
family_s17_e47,True,True,True,False,3
family_s18_e48,True,True,True,False,3
family_s19_e48,True,True,True,False,3
family_s19_e49,False,True,True,True,3
family_s19_e50,False,True,True,True,3
family_s20_e50,False,True,True,True,3
family_s06_e40,True,False,True,False,2
family_s10_e43,False,False,True,True,2
family_s11_e43,False,False,True,True,2
family_s12_e45,False,False,True,True,2
family_s13_e44,False,False,True,True,2
family_s14_e45,False,False,True,True,2
family_s17_e50,False,False,True,True,2
family_s18_e50,False,False,True,True,2
family_s20_e48,False,True,True,False,2
family_s21_e49,False,True,True,False,2
family_s21_e50,False,True,True,False,2
family_s23_e49,False,True,True,False,2
family_s23_e50,True,True,False,False,2
family_s25_e48,True,True,False,False,2
family_s25_e50,True,True,False,False,2
family_s02_e32,True,False,False,False,1
family_s02_e33,True,False,False,False,1
family_s03_e34,True,False,False,False,1
family_s03_e35,True,False,False,False,1
family_s03_e36,True,False,False,False,1
family_s04_e36,True,False,False,False,1
family_s04_e37,True,False,False,False,1
family_s04_e38,True,False,False,False,1
family_s05_e37,False,False,True,False,1
family_s05_e38,True,False,False,False,1
family_s05_e39,True,False,False,False,1
family_s05_e40,True,False,False,False,1
family_s06_e39,True,False,False,False,1
family_s06_e41,True,False,False,False,1
family_s08_e41,True,False,False,False,1
family_s08_e44,True,False,False,False,1
family_s09_e42,False,False,False,True,1
family_s10_e42,False,False,False,True,1
family_s12_e47,False,False,True,False,1
family_s16_e44,True,False,False,False,1
family_s16_e46,False,True,False,False,1
family_s19_e44,False,False,False,True,1
family_s19_e47,False,True,False,False,1
family_s20_e46,False,True,False,False,1
family_s20_e51,False,False,True,False,1
family_s21_e46,False,True,False,False,1
family_s21_e48,False,True,False,False,1
family_s22_e46,False,True,False,False,1
family_s22_e47,False,True,False,False,1
family_s22_e48,False,True,False,False,1
family_s22_e49,False,True,False,False,1
family_s22_e50,False,True,False,False,1
family_s23_e48,False,True,False,False,1
family_s24_e41,False,False,False,True,1
family_s24_e42,False,False,False,True,1
family_s24_e49,False,True,False,False,1
family_s24_e50,False,True,False,False,1
family_s25_e41,False,False,False,True,1
family_s25_e42,False,False,False,True,1
family_s25_e43,False,False,False,True,1
family_s25_e49,True,False,False,False,1
family_s26_e42,False,False,False,True,1
family_s27_e42,False,False,False,True,1
family_s27_e43,False,False,False,True,1
