n_families,s_min,s_max,e_min,e_max,bbox_area,mean_nearest_neighbor_distance,mean_pairwise_distance,density,perm
21,1,36,4,48,1620,5.0177625878319665,19.127585509789572,0.012962962962962963,1
21,0,37,0,45,1748,4.397463963093534,20.47278858895982,0.012013729977116704,2
21,2,37,7,44,1368,4.318036867549357,17.595470930982586,0.015350877192982455,3
21,3,33,18,48,961,3.589310538644623,17.193190299962865,0.021852237252861603,4
21,1,39,15,47,1287,4.133981441805207,18.26688873291725,0.016317016317016316,5
21,1,29,6,49,1276,4.047560474890702,19.655990996393385,0.016457680250783698,6
21,0,35,3,51,1764,4.860078194592829,18.49303242264685,0.011904761904761904,7
21,0,32,13,45,1089,4.286832352496889,16.339170605839094,0.01928374655647383,8
21,1,31,6,52,1457,5.218249153546601,18.345939150700985,0.014413177762525738,9
21,2,31,12,48,1110,3.5344334813452667,18.601766279613148,0.01891891891891892,10
21,0,37,12,50,1482,4.230665947930849,18.342207528073565,0.01417004048582996,11
21,0,36,3,49,1739,4.284347746746577,20.055616988449852,0.012075905692926969,12
21,1,39,6,49,1716,5.153239858897088,18.64181691171776,0.012237762237762238,13
21,0,35,0,52,1908,4.642156127464633,21.528082235516326,0.0110062893081761,14
21,1,37,19,52,1258,4.483243634712345,18.86759132904595,0.016693163751987282,15
21,0,37,12,48,1406,5.917779378403607,19.55281272525326,0.014935988620199146,16
21,3,33,9,45,1147,4.012748130486976,18.06440559497837,0.018308631211857017,17
21,0,33,10,52,1462,4.3548059030195585,18.069441432632527,0.014363885088919288,18
21,1,32,14,47,1088,4.311263475427929,17.323823972780616,0.019301470588235295,19
21,0,37,14,48,1330,5.066325224658129,17.894834590006344,0.015789473684210527,20
21,0,34,5,51,1645,4.427305539582636,19.222957341684957,0.01276595744680851,21
21,0,35,10,47,1368,5.176742838588181,20.426747205840513,0.015350877192982455,22
21,0,28,6,47,1218,4.972763063403285,16.155491062439836,0.017241379310344827,23
21,2,37,20,51,1152,4.70238852982984,15.986612124290353,0.018229166666666668,24
21,0,33,5,46,1428,4.522561872356054,18.835755595413932,0.014705882352941176,25
21,4,37,6,47,1428,4.789917028058658,17.84189909128178,0.014705882352941176,26
21,3,33,5,49,1395,3.2952559361844838,19.69279711875962,0.015053763440860216,27
21,6,34,6,47,1218,4.242051881541313,18.01815174126412,0.017241379310344827,28
21,3,33,14,52,1209,4.341419765960209,17.27663359964152,0.017369727047146403,29
21,3,37,23,50,980,4.328891880672565,16.216539313226193,0.02142857142857143,30
21,2,35,11,49,1326,4.059846697358343,20.85758155705639,0.01583710407239819,31
21,2,37,10,51,1512,4.087775687307578,19.38553222542327,0.013888888888888888,32
21,3,35,16,46,1023,4.861612077603659,15.595326765248561,0.020527859237536656,33
21,1,38,3,51,1862,4.288215560949608,20.131683781998067,0.011278195488721804,34
21,2,36,10,48,1365,4.348606883090978,18.7174639645665,0.015384615384615385,35
21,2,37,17,46,1080,4.220040461158037,18.09273402886673,0.019444444444444445,36
21,4,34,5,43,1209,3.997532497983847,15.505602363186366,0.017369727047146403,37
21,2,37,13,48,1296,4.58095369397644,18.509433401339287,0.016203703703703703,38
21,2,33,5,50,1472,3.992598397787206,21.31885018560586,0.014266304347826086,39
21,1,36,18,46,1044,3.774884435109559,16.24182471377285,0.020114942528735632,40
21,1,34,6,50,1530,4.632166933389326,17.192676083419943,0.013725490196078431,41
21,1,37,0,47,1776,4.817798901868442,20.877993980294864,0.011824324324324325,42
21,4,38,19,52,1190,4.9636003814863345,17.75638022938867,0.01764705882352941,43
21,0,36,14,46,1221,3.039584162395942,18.85872430436643,0.0171990171990172,44
21,2,34,18,50,1089,3.8817893561195445,18.223003930709105,0.01928374655647383,45
21,3,36,13,49,1258,4.24563502860152,16.649501988178198,0.016693163751987282,46
21,0,37,2,48,1786,5.424156100727663,21.451497543313607,0.011758118701007838,47
21,0,29,14,49,1080,3.9357909302028538,16.083983150757913,0.019444444444444445,48
21,1,37,4,51,1776,5.143010610275995,22.214888798623914,0.011824324324324325,49
21,0,38,12,48,1443,4.257510444012248,19.315495999164575,0.014553014553014554,50
21,0,33,5,49,1530,5.1101829351142545,19.507884755911547,0.013725490196078431,51
21,2,33,11,50,1280,4.888628154682583,18.801243580939314,0.01640625,52
21,0,32,1,50,1650,5.691631500757806,21.35462047288711,0.012727272727272728,53
21,0,36,5,50,1702,5.256620433302511,21.238350058990832,0.012338425381903642,54
21,0,34,1,44,1540,4.346333508562023,22.12320449629728,0.013636363636363636,55
21,3,33,0,48,1519,3.9612565667973803,18.79004432357349,0.013824884792626729,56
21,0,36,0,51,1924,4.201863147464157,22.807890909424415,0.010914760914760915,57
21,0,33,16,52,1258,3.3169594941599767,18.072801220391398,0.016693163751987282,58
21,0,28,5,52,1392,4.369742363380437,19.874318814845452,0.015086206896551725,59
21,0,36,14,50,1369,4.206311654600295,19.22827589528858,0.015339663988312637,60
21,0,37,10,51,1596,4.6720270693498875,19.618929755099092,0.013157894736842105,61
21,6,36,13,52,1240,3.817716301264017,17.902853444481593,0.016935483870967744,62
21,5,37,6,46,1353,3.76661426775229,18.37567958526853,0.015521064301552107,63
21,0,36,5,47,1591,4.403763024809267,19.457757318716695,0.013199245757385292,64
21,3,33,9,51,1333,4.600096510672516,15.848914768033945,0.015753938484621154,65
21,4,34,8,48,1271,3.920123824964701,17.182476237363105,0.016522423288749016,66
21,2,30,6,49,1276,5.2930699317436325,19.546563664289515,0.016457680250783698,67
21,1,38,22,51,1140,4.10821995062734,19.210632054642062,0.018421052631578946,68
21,5,37,13,49,1221,5.448729028963773,17.031460092193853,0.0171990171990172,69
21,2,38,13,51,1443,4.706644301037148,19.406631393999618,0.014553014553014554,70
21,0,39,8,50,1720,4.990257395383672,19.35464250620569,0.012209302325581395,71
